site;behaviour;category;complexity;presence;ref
Issa-Ugalla;ant_dipping_with_tool;ant;1;0;Stewart 2011 Ecology and Ethology of Chimpanzee Nest Building PhD Thesis: University of Cambridge
Issa-Ugalla;ant_eating_without_tools;ant;0;0;"\Amaya et al. 2016 Savanna Chimpanzees (Pan troglodytes schweinfurthii) Consume and Share Blue Duiker Meat in the Issa Valley, Ugalla, Western Tanzania Pan Africa News 22: 17-21\"""""
Issa-Ugalla;ant_fishing_with_tool;ant;1;1;Hernandez-Aguilar et al. 2007 Savanna Chimpanzees Use Tools to Harvest the Underground Storage Organs of Plants PNAS 104: 19210-19213
Issa-Ugalla;cave_use;thermoregulation;0;0;Stewart and Pruetz 2013 Do Chimpanzee Nests Serve an Anti?Predatory Function? American Journal of Primatology 75: 593-604 
Issa-Ugalla;ground_nest;ground protection;0;0;"\Piel et al., 2015 Population Status of Chimpanzees in the Masito-Ugalla Ecosystem, Tanzania American Journal of Primatology 77: 1027-1035\"""""
Issa-Ugalla;honey_aerial_with_tool;honey;1;0;"\Moore 2013 Genetic Investigation of an Unhabituated, Savanna-Woodland Chimpanzee (Pan troglodytes schweinfurthii) Population in Ugalla, Western Tanzania PhD Thesis: The University of Texas at San Antonio\"""""
Issa-Ugalla;honey_aerial_with_toolset;honey;2;0;
Issa-Ugalla;honey_eating_without_tools;honey;0;0;
Issa-Ugalla;leaf_clipping;communication;1;0;
Issa-Ugalla;leaf_cushion;ground protection;0;0;
Issa-Ugalla;leaf_sponge;water;1;0;
Issa-Ugalla;marrow_pick;vertebrates;1;0;
Issa-Ugalla;nut_cracking;nut;2;0;
Issa-Ugalla;stone_throwing;communication;1;0;
Issa-Ugalla;termite_eating_without_tools;termite;0;0;
Issa-Ugalla;termite_fishing_with_tool;termite;1;1;
Issa-Ugalla;underground_perforation_with_toolset;perforate honey/termites;2;0;
Issa-Ugalla;water_dipping;water;1;0;
Kabogo;accumulative_stone_throwing;communication;2;0;PanAf Data
Kabogo;algae_fishing_with_tool;algae;1;0;"\ Izawa and Itani 1966. Chimpanzees in Kasakati Basin, Tanganyika: I. Ecological Study in the Rainy Season 1963-1964 pp. 73-156 In: Kyoto University African Studies Vol. 1 (Ed.) K. Imanishi. Kyoto University: Kyoto, Japan\"""""
Kabogo;ant_dipping_with_tool;ant;1;0;
Kabogo;ant_eating_without_tools;ant;0;0;
Kabogo;ant_fishing_with_tool;ant;1;0;
Kabogo;cave_use;thermoregulation;0;0;
Kabogo;ground_nest;ground protection;0;1;
Kabogo;honey_aerial_with_tool;honey;1;0;
Kabogo;honey_aerial_with_toolset;honey;2;0;
Kabogo;honey_eating_without_tools;honey;0;0;
Kabogo;leaf_clipping;communication;1;0;
Kabogo;leaf_cushion;ground protection;0;0;
Kabogo;leaf_sponge;water;1;0;
Kabogo;marrow_pick;vertebrates;1;0;
Kabogo;nut_cracking;nut;2;0;
Kabogo;stone_throwing;communication;1;0;
Kabogo;termite_eating_without_tools;termite;0;0;
Kabogo;termite_fishing_with_tool;termite;1;0;
Kabogo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Kabogo;water_dipping;water;1;0;
Kayan;accumulative_stone_throwing;communication;2;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Kayan;algae_fishing_with_tool;algae;1;0;
Kayan;ant_dipping_with_tool;ant;1;0;
Kayan;ant_eating_without_tools;ant;0;0;
Kayan;ant_fishing_with_tool;ant;1;0;
Kayan;cave_use;thermoregulation;0;0;
Kayan;ground_nest;ground protection;0;0;
Kayan;honey_aerial_with_tool;honey;1;0;
Kayan;honey_aerial_with_toolset;honey;2;0;
Kayan;honey_eating_without_tools;honey;0;0;
Kayan;leaf_clipping;communication;1;0;
Kayan;leaf_cushion;ground protection;0;0;
Kayan;leaf_sponge;water;1;0;
Kayan;marrow_pick;vertebrates;1;0;
Kayan;nut_cracking;nut;2;0;
Kayan;stone_throwing;communication;1;0;
Kayan;termite_eating_without_tools;termite;0;0;
