site2;site1;dyadID;behaviour;complexity;presence1;presence2;shared;ibdbinary;ibdsource;neprabinary;neprasimilarity;sameregion;samehabitat;distance;min_observationtime_months;lon1;lat1;lon2;lat2;region1;region2;habitat1;habitat2;obstime1;obstime2;z.log.nepra;z.log.geo;z.obstime;z.log.obstime;refug.x;precip.x;refug.y;precip.y;meanref;z.sqrt.ref;meanprecip;z.log.precip
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Marrow pick;1;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Leaf sponge;1;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Termite eating;0;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Ant fishing;1;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Honey underground ;1;0;0;0;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sobeya;Bakoun-Sobory_Sobeya;Algae fishing;1;1;1;1;1;tableS9;1;0.005654698;1;1;73535.66893;12;-11.43255011;11.05888104;-11.20404681;11.68425259;W;W;savannah;savannah;12;14;1.482505123;-3.13646187;-0.26227507;-0.083274332;396.3649011;102;465.7672566;112;431.0660789;1.434988555;107;1.693242502
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Honey underground ;1;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Nut cracking;2;0;NA;NA;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Honey eating;0;0;1;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
Bakoun-Sobory;Sangaredi;Bakoun-Sobory_Sangaredi;Honey toolset;2;0;0;0;1;tableS9;1;0.003138207;1;1;314454.0514;14;-14.01413679;11.05744561;-11.20404681;11.68425259;W;W;savannah;savannah;17;14;1.129678413;-1.654002082;-0.192856179;0.087532125;550.6225885;115;465.7672566;112;508.1949226;1.767137951;113.5;1.907883045
